You Loose! Points,You Win! Points
19
46
63
63
9
38
19
37
59
57
57
19
63
64
64
55
8
39
39
49
30
41
62
61
19
29
28
64
59
66
37
62
38
69
19
59
59
51
53
19
38
19
55
28
27
62
58
64
66
30
19
19
39
28
37
62
59
39
18
19
64
19
28
64
62
19
28
57
38
38
39
63
28
66
61
41
51
8
30
28
38
28
29
19
19
46
28
63
19
30
30
69
27
38
19
19
18
19
28
48
