You Loose! Points,You Win! Points
9,
19,
20,
,56
,56
41,
,55
19,
9,
19,
30,
,66
9,
20,
19,
46,
46,
,62
27,
19,
48,
30,
19,
37,
19,
18,
29,
49,
19,
19,
37,
,66
38,
49,
,66
62,
49,
41,
49,
19,
28,
18,
19,
,66
28,
8,
30,
9,
39,
,62
9,
59,
48,
34,
30,
60,
,57
20,
30,
19,
19,
9,
,65
,68
28,
,56
58,
49,
38,
,63
,62
51,
62,
31,
60,
38,
31,
56,
19,
19,
30,
,65
51,
,64
,65
28,
49,
63,
,66
41,
62,
48,
9,
56,
38,
8,
49,
19,
30,
18,
