You Loose! Points,You Win! Points
20
19
19
19
28
64
47
26
66
66
62
69
49
30
19
20
66
60
59
30
63
51
9
9
47
19
49
19
42
62
19
60
35
19
62
19
20
38
62
62
31
19
46
65
31
41
30
28
9
44
19
19
68
19
50
9
18
41
29
65
51
62
19
28
19
19
65
39
49
41
63
20
20
19
19
41
30
20
18
62
52
19
45
37
48
19
61
63
56
60
20
19
38
61
58
27
18
60
20
36
